,nodeid,yr,mon,total_sales_volume,total_sales_price,pm_total_sales_volume,pm_total_sales_price,l3m_total_sales_volume,l3m_total_sales_price,l12m_total_sales_volume,l12m_total_sales_price,pm_numreviews,pm_avgrating,l3m_numreviews,l3m_avgrating,l12m_numreviews,l12m_avgrating,numreviews,avgrating
0,1002,2012.0,10.0,3,23.25,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
1,1002,2012.0,11.0,77,762.57,3,23.25,3,23.25,3,23.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2,1002,2012.0,12.0,100,1010.93,77,762.57,80,785.82,80,785.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
3,1002,2013.0,1.0,327,3343.79,100,1010.93,180,1796.75,180,1796.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
4,1002,2013.0,2.0,244,2639.78,327,3343.79,504,5117.29,507,5140.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
5,1002,2013.0,3.0,211,2137.24,244,2639.78,671,6994.5,751,7780.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
6,1002,2013.0,4.0,129,1411.45,211,2137.24,782,8120.81,962,9917.56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
7,1002,2013.0,5.0,156,1664.4,129,1411.45,584,6188.47,1091,11329.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
8,1002,2013.0,6.0,85,929.71,156,1664.4,496,5213.09,1247,12993.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
9,1002,2013.0,7.0,9,95.3,85,929.71,370,4005.56,1332,13923.12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
10,1002,2013.0,8.0,12,53.65,9,95.3,250,2689.41,1341,14018.42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
11,1002,2013.0,9.0,4,32.85,12,53.65,106,1078.66,1353,14072.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
12,1002,2013.0,10.0,14,19.71,4,32.85,25,181.8,1357,14104.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
13,1002,2013.0,11.0,0,0.0,14,19.71,30,106.21,1368,14101.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
14,1007,2011.0,10.0,5,38.75,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
15,1007,2011.0,11.0,240,1745.34,5,38.75,5,38.75,5,38.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
16,1007,2011.0,12.0,529,3680.25,240,1745.34,245,1784.09,245,1784.09,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
17,1007,2012.0,1.0,875,6147.58,529,3680.25,774,5464.34,774,5464.34,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
18,1007,2012.0,2.0,629,4528.72,875,6147.58,1644,11573.17,1649,11611.92,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
19,1007,2012.0,3.0,166,1149.13,629,4528.72,2033,14356.55,2278,16140.64,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
20,1007,2012.0,4.0,52,335.28,166,1149.13,1670,11825.43,2444,17289.77,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
21,1007,2012.0,5.0,40,252.29,52,335.28,847,6013.13,2496,17625.05,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0
