,nodeid,mon,yr,total_sales_volume,total_sales_price,pm_total_sales_volume,pm_total_sales_price,l3m_total_sales_volume,l3m_total_sales_price,l12m_total_sales_volume,l12m_total_sales_price,numreviews_by_period,avgrating_by_period,numreviews,avgrating
0,2950,2.0,2012.0,12,123.65,22,229.93,130,1298.76,1327,14450.32,0.0,0.0,7.0,3.57
1,2950,2.0,2013.0,9,99.31,10,119.88,76,889.71,275,3054.69,0.0,0.0,7.0,3.57
2,2950,2.0,2014.0,5,49.22,0,0.0,86,1000.91,194,1530.04,0.0,0.0,7.0,3.57
3,2950,2.0,2015.0,2,12.95,4,404.65,18,739.62,72,2347.85,0.0,0.0,7.0,3.57
4,2950,2.0,2016.0,1,175.5,1,11.77,8,90.19,82,1398.9,0.0,0.0,7.0,3.57
5,2950,3.0,2012.0,22,267.61,12,123.65,75,737.04,1339,14573.97,0.0,0.0,7.0,3.57
6,2950,3.0,2013.0,26,25.9,9,99.31,52,600.36,272,3030.35,0.0,0.0,7.0,3.57
7,2950,3.0,2014.0,6,71.2,5,49.22,46,525.74,190,1479.95,1.0,2.0,7.0,3.57
8,2950,3.0,2015.0,2,195.0,2,12.95,12,490.75,69,2311.58,0.0,0.0,7.0,3.57
9,2950,3.0,2016.0,0,0.0,1,175.5,3,200.22,81,1561.45,0.0,0.0,7.0,3.57
10,2950,4.0,2011.0,3,37.42,0,0.0,0,0.0,0,0.0,0.0,0.0,7.0,3.57
11,2950,4.0,2012.0,11,122.74,22,267.61,56,621.19,1361,14841.58,0.0,0.0,7.0,3.57
12,2950,4.0,2013.0,7,87.92,26,25.9,45,245.09,276,2788.64,0.0,0.0,7.0,3.57
13,2950,4.0,2014.0,12,623.28,6,71.2,11,120.42,170,1525.25,1.0,5.0,7.0,3.57
14,2950,4.0,2015.0,5,55.71,2,195.0,8,612.6,65,2435.38,0.0,0.0,7.0,3.57
15,2950,4.0,2016.0,2,22.01,0,0.0,2,187.27,79,1366.45,0.0,0.0,7.0,3.57
16,2950,5.0,2011.0,478,5227.56,3,37.42,3,37.42,3,37.42,0.0,0.0,7.0,3.57
17,2950,5.0,2012.0,33,369.79,11,122.74,45,514.0,1369,14926.9,0.0,0.0,7.0,3.57
18,2950,5.0,2013.0,41,57.75,7,87.92,42,213.13,272,2753.82,0.0,0.0,7.0,3.57
19,2950,5.0,2014.0,10,453.97,12,623.28,23,743.7,175,2060.61,0.0,0.0,7.0,3.57
20,2950,5.0,2015.0,31,116.65,5,55.71,9,263.66,58,1867.81,0.0,0.0,7.0,3.57
21,2950,5.0,2016.0,2,23.31,2,22.01,3,197.51,76,1332.75,0.0,0.0,7.0,3.57
22,2950,6.0,2011.0,190,2114.54,478,5227.56,481,5264.98,481,5264.98,0.0,0.0,7.0,3.57
23,2950,6.0,2012.0,32,354.5,33,369.79,66,760.14,924,10069.13,0.0,0.0,7.0,3.57
24,2950,6.0,2013.0,5,43.51,41,57.75,74,171.57,280,2441.78,0.0,0.0,7.0,3.57
25,2950,6.0,2014.0,9,102.3,10,453.97,28,1148.45,144,2456.83,0.0,0.0,7.0,3.57
26,2950,6.0,2015.0,10,288.35,31,116.65,38,367.36,79,1530.49,0.0,0.0,7.0,3.57
27,2950,6.0,2016.0,0,0.0,2,23.31,4,45.32,47,1239.41,0.0,0.0,7.0,3.57
28,2950,7.0,2011.0,155,1679.6,190,2114.54,671,7379.52,671,7379.52,0.0,0.0,7.0,3.57
29,2950,7.0,2012.0,38,407.41,32,354.5,76,847.03,766,8309.09,0.0,0.0,7.0,3.57
30,2950,7.0,2013.0,6,70.46,5,43.51,53,189.18,253,2130.79,0.0,0.0,7.0,3.57
31,2950,7.0,2014.0,2,25.9,9,102.3,31,1179.55,148,2515.62,0.0,0.0,7.0,3.57
32,2950,7.0,2015.0,12,317.35,10,288.35,46,460.71,80,1716.54,0.0,0.0,7.0,3.57
33,2950,7.0,2016.0,328,12.95,0,0.0,4,45.32,37,951.06,0.0,0.0,7.0,3.57
34,2950,8.0,2011.0,134,1542.08,155,1679.6,823,9021.7,826,9059.12,0.0,0.0,7.0,3.57
35,2950,8.0,2012.0,15,105.5,38,407.41,103,1131.7,649,7036.9,0.0,0.0,7.0,3.57
36,2950,8.0,2013.0,2,12.95,6,70.46,52,171.72,221,1793.84,0.0,0.0,7.0,3.57
37,2950,8.0,2014.0,3,38.2,2,25.9,21,582.17,144,2471.06,1.0,4.0,7.0,3.57
38,2950,8.0,2015.0,7,77.7,12,317.35,53,722.35,90,2007.99,0.0,0.0,7.0,3.57
39,2950,8.0,2016.0,0,0.0,328,12.95,330,36.26,353,646.66,0.0,0.0,7.0,3.57
40,2950,9.0,2011.0,100,1148.56,134,1542.08,479,5336.22,960,10601.2,0.0,0.0,7.0,3.57
